400-800;801-2000;2001-5000;5001-9000;9001-100000;frame
0;0;0;0;0;522
0;0;0;0;1;528
0;0;0;0;1;534
0;0;0;0;1;540
0;0;0;0;2;546
0;0;0;0;0;552
0;0;0;0;0;558
0;0;0;0;0;564
0;0;0;0;0;570
0;1;16;0;0;576
0;0;37;1;0;582
0;3;26;0;0;588
0;3;6;1;0;594
3;7;69;1;0;600
4;39;169;0;0;606
7;22;166;0;0;612
0;19;178;0;0;618
1;10;40;1;9;624
7;15;135;3;1;630
12;12;123;0;0;636
2;27;132;0;0;642
6;52;102;1;1;648
0;9;24;0;0;654
0;3;15;0;0;660
1;11;34;0;0;666
0;5;43;1;0;672
0;7;81;0;0;678
0;4;29;0;0;684
3;8;30;1;0;690
1;15;67;0;0;696
1;12;97;0;0;702
5;5;29;2;0;708
0;2;11;0;0;714
1;34;126;1;0;720
0;20;100;0;0;726
1;16;204;0;0;732
0;18;172;0;0;738
0;0;0;0;0;744
0;0;0;0;0;750
0;0;0;0;1;756
0;0;0;0;4;762
0;0;0;0;10;768
0;0;0;0;0;774
0;0;0;0;6;780
0;0;0;0;14;786
0;0;0;0;3;792
0;0;0;0;9;798
0;0;0;0;0;804
0;0;0;0;0;810
0;0;0;0;6;816
0;0;0;0;3;822
0;0;0;3;6;828
0;0;0;0;0;834
0;0;0;0;8;840
0;0;0;0;6;846
0;0;0;3;8;852
0;0;1;5;6;858
0;0;0;0;0;864
0;0;3;0;14;870
0;0;0;0;19;876
0;0;0;1;25;882
0;0;9;1;6;888
0;0;0;0;0;894
1;0;0;1;1;900
0;0;0;3;13;906
0;0;0;0;8;912
0;0;9;0;11;918
0;0;0;0;1;924
0;0;0;3;5;930
0;0;0;3;10;936
0;0;2;3;12;942
0;0;3;0;6;948
0;0;0;0;11;954
0;0;0;0;1;960
0;0;0;0;6;966
0;0;0;0;6;972
0;0;0;0;7;978
0;0;0;0;3;984
0;0;0;0;8;990
0;0;0;0;12;996
1;0;0;4;4;1002
0;0;0;0;5;1008
0;0;0;0;7;1014
0;0;0;0;8;1020
0;0;0;0;4;1026
0;0;0;0;6;1032
0;0;0;0;0;1038
0;0;0;0;10;1044
0;0;0;0;9;1050
0;0;0;0;0;1056
0;0;0;0;7;1062
0;0;0;0;2;1068
0;0;0;0;2;1074
0;0;0;0;4;1080
0;0;0;0;1;1086
0;0;0;0;3;1092
0;0;2;0;7;1098
0;0;0;0;0;1104
0;0;0;0;1;1110
0;0;0;0;0;1116
0;0;0;4;3;1122
0;0;0;0;15;1128
0;0;2;6;1;1134
0;0;1;0;4;1140
0;0;0;0;8;1146
0;2;1;0;3;1152
0;0;0;0;7;1158
0;0;0;0;4;1164
0;0;0;0;3;1170
0;0;0;0;0;1176
0;0;0;0;6;1182
0;0;0;0;7;1188
0;0;0;0;6;1194
0;0;0;0;5;1200
0;0;0;0;5;1206
0;0;0;0;0;1212
0;0;0;0;5;1218
0;0;0;0;1;1224
0;1;0;0;0;1230
0;0;0;4;2;1236
0;0;2;0;4;1242
0;0;0;0;2;1248
0;0;0;0;0;1254
0;0;0;0;1;1260
0;0;0;0;0;1266
0;0;0;0;1;1272
0;0;0;0;0;1278
0;0;0;0;8;1284
0;0;0;0;0;1290
0;0;0;0;0;1296
0;0;0;0;0;1302
0;0;0;0;0;1308
0;0;0;0;0;1314
0;0;0;0;0;1320
0;0;0;0;2;1326
0;0;0;0;0;1332
0;0;0;0;0;1338
0;0;0;0;0;1344
0;0;0;0;0;1350
0;0;0;0;0;1356
0;0;0;0;0;1362
0;0;0;0;0;1368
0;0;0;0;0;1374
0;0;0;0;0;1380
0;0;0;0;0;1386
0;0;0;0;0;1392
0;0;0;0;0;1398
0;0;0;0;0;1404
0;0;0;0;0;1410
0;0;0;0;0;1416
0;1;0;0;0;1422
0;0;0;1;0;1428
0;0;0;0;0;1434
0;0;0;0;0;1440
0;0;0;0;1;1446
0;0;1;1;0;1452
0;0;0;0;3;1458
0;0;3;0;2;1464
0;0;0;0;3;1470
0;0;1;1;0;1476
0;0;0;0;1;1482
0;0;0;0;0;1488
0;0;0;0;1;1494
0;0;0;0;1;1500
0;0;3;0;0;1506
0;0;0;0;0;1512
0;0;0;0;0;1518
0;0;0;0;4;1524
0;0;3;0;6;1530
1;0;0;1;3;1536
0;0;0;1;2;1542
0;0;0;1;0;1548
0;0;0;0;3;1554
0;0;0;0;3;1560
0;0;2;0;1;1566
0;0;0;0;0;1572
0;0;0;0;0;1578
0;0;0;0;1;1584
0;0;0;0;0;1590
0;0;0;0;0;1596
0;0;0;0;0;1602
0;0;0;0;0;1608
0;0;0;0;1;1614
0;0;0;0;0;1620
0;0;0;0;0;1626
0;0;0;1;0;1632
0;0;0;0;0;1638
0;0;0;0;1;1644
0;0;0;0;0;1650
0;0;0;0;0;1656
0;0;0;0;0;1662
0;0;0;0;0;1668
0;0;0;0;0;1674
0;0;0;0;0;1680
0;0;0;0;0;1686
0;0;0;0;0;1692
0;0;0;0;0;1698
0;0;0;0;0;1704
0;0;0;0;0;1710
0;0;0;0;0;1716
0;0;0;0;0;1722
0;0;0;0;0;1728
0;0;0;0;0;1734
0;0;0;0;0;1740
0;0;0;0;0;1746
0;0;0;0;0;1752
0;0;0;0;0;1758
0;0;0;0;0;1764
0;0;0;0;0;1770
0;0;0;0;0;1776
0;0;0;0;0;1782
0;0;0;0;0;1788
0;0;0;0;0;1794
0;0;0;0;0;1800
0;0;0;0;0;1806
0;0;0;0;1;1812
0;0;0;0;0;1818
0;0;0;0;0;1824
0;0;0;0;0;1830
0;0;0;0;0;1836
0;0;0;0;0;1842
0;0;0;0;0;1848
0;0;0;0;0;1854
0;0;0;0;0;1860
0;0;0;0;0;1866
0;0;0;0;0;1872
0;0;0;0;1;1878
0;0;0;0;0;1884
0;0;0;0;0;1890
0;0;0;0;0;1896
0;0;0;0;0;1902
0;0;0;0;0;1908
0;0;0;0;0;1914
0;0;0;0;0;1920
0;0;0;0;0;1926
0;0;0;0;0;1932
0;0;0;0;0;1938
0;0;0;0;0;1944
0;0;0;0;0;1950
0;0;0;0;0;1956
0;0;0;0;0;1962
0;0;0;0;0;1968
0;0;0;0;0;1974
0;0;0;0;0;1980
0;0;0;0;0;1986
0;0;0;0;0;1992
0;0;0;0;0;1998
0;0;0;0;0;2004
0;0;0;0;0;2010
0;0;0;0;0;2016
0;0;0;0;0;2022
0;0;0;0;0;2028
0;0;0;0;0;2034
0;0;0;0;0;2040
0;0;0;0;0;2046
0;0;0;0;0;2052
0;0;0;0;0;2058
0;0;1;0;0;2064
0;0;0;0;0;2070
1;0;0;0;0;2076
0;0;4;1;0;2082
0;4;0;3;0;2088
0;0;1;0;0;2094
0;0;4;16;0;2100
0;6;5;33;0;2106
0;0;3;12;5;2112
0;3;6;43;22;2118
0;7;22;37;22;2124
6;0;1;5;0;2130
0;0;0;0;2;2136
0;0;1;0;0;2142
0;0;0;0;0;2148
0;0;0;0;0;2154
0;0;1;0;2;2160
0;0;0;0;1;2166
0;0;0;0;0;2172
0;0;3;0;0;2178
0;0;0;1;0;2184
0;0;4;0;0;2190
0;0;2;15;0;2196
1;0;5;7;1;2202
0;3;1;2;3;2208
0;1;9;6;1;2214
0;2;3;12;0;2220
0;0;2;7;2;2226
0;2;3;20;2;2232
6;0;4;24;12;2238
0;1;17;37;5;2244
0;0;27;67;6;2250
0;0;1;22;8;2256
0;0;1;1;1;2262
0;3;5;3;4;2268
2;0;1;2;0;2274
2;2;6;8;0;2280
0;0;0;11;3;2286
0;0;3;1;0;2292
0;0;11;7;1;2298
3;0;3;11;1;2304
0;5;13;7;5;2310
0;4;5;2;6;2316
0;0;0;1;0;2322
0;0;8;3;1;2328
0;0;3;14;3;2334
0;0;0;0;0;2340
0;0;0;0;0;2346
0;1;0;1;0;2352
0;6;7;0;1;2358
0;4;21;2;0;2364
7;6;26;0;0;2370
0;2;7;0;0;2376
1;5;7;0;0;2382
0;5;1;0;2;2388
0;2;0;3;1;2394
0;0;0;0;2;2400
0;0;4;0;8;2406
0;0;0;3;8;2412
0;0;0;0;14;2418
0;0;0;7;8;2424
0;1;0;0;0;2430
0;0;0;1;0;2436
0;0;0;1;1;2442
0;1;0;0;0;2448
0;0;0;2;0;2454
0;0;0;0;1;2460
0;0;0;0;3;2466
0;7;19;0;0;2472
0;9;29;0;0;2478
0;1;13;0;0;2484
1;2;2;0;12;2490
0;0;3;2;7;2496
0;0;1;2;6;2502
0;0;0;0;6;2508
1;0;0;0;2;2514
0;0;0;0;17;2520
0;0;1;2;9;2526
0;0;1;0;11;2532
0;0;0;0;9;2538
0;0;0;0;1;2544
0;0;0;6;5;2550
0;0;0;0;8;2556
1;15;32;2;1;2562
3;9;100;0;0;2568
0;22;48;5;0;2574
0;1;8;4;0;2580
0;0;0;0;6;2586
0;0;1;4;8;2592
0;1;0;2;16;2598
0;0;0;4;6;2604
0;0;8;1;4;2610
0;0;0;1;4;2616
0;0;1;4;1;2622
1;0;0;0;3;2628
0;0;0;4;0;2634
0;0;0;2;10;2640
0;0;0;1;0;2646
0;0;0;0;8;2652
0;5;0;0;7;2658
1;33;129;0;0;2664
5;16;80;0;1;2670
0;14;66;0;1;2676
0;1;1;0;4;2682
1;13;68;0;0;2688
0;7;49;3;0;2694
0;9;41;0;0;2700
3;7;53;0;0;2706
0;1;0;1;0;2712
0;0;3;4;9;2718
0;0;0;5;28;2724
0;5;2;1;31;2730
0;0;1;0;8;2736
0;2;16;3;3;2742
1;29;90;5;0;2748
1;5;66;0;0;2754
0;0;0;4;11;2760
0;0;1;1;10;2766
0;0;14;2;10;2772
0;0;1;0;13;2778
0;0;0;1;8;2784
0;0;1;8;7;2790
0;0;5;14;12;2796
0;2;2;0;7;2802
0;1;0;6;4;2808
0;0;0;0;6;2814
0;16;68;0;1;2820
1;16;74;0;0;2826
4;6;67;1;1;2832
0;0;0;3;18;2838
4;0;4;6;8;2844
0;0;0;3;20;2850
0;0;0;9;18;2856
0;0;0;4;23;2862
0;0;3;5;4;2868
0;0;0;1;10;2874
0;0;2;7;13;2880
0;0;4;9;34;2886
0;0;19;6;14;2892
0;0;0;9;3;2898
0;1;0;9;31;2904
0;23;98;0;0;2910
2;27;136;1;0;2916
7;20;84;0;0;2922
1;16;99;0;0;2928
1;2;8;0;0;2934
2;2;17;0;1;2940
0;6;16;0;1;2946
1;10;5;0;0;2952
0;0;0;0;0;2958
0;0;0;0;0;2964
0;0;0;0;0;2970
0;1;1;3;1;2976
0;0;0;0;0;2982
0;0;0;6;0;2988
0;0;0;3;4;2994
0;0;1;0;0;3000
0;0;0;2;0;3006
0;0;0;0;0;3012
0;0;0;0;0;3018
0;0;0;0;0;3024
0;0;0;0;1;3030
1;0;0;0;0;3036
0;0;0;0;0;3042
0;2;5;0;0;3048
0;6;7;0;0;3054
0;1;6;0;0;3060
1;1;11;0;0;3066
0;3;29;0;0;3072
0;13;13;0;0;3078
3;9;25;0;0;3084
0;5;13;1;0;3090
0;6;0;0;0;3096
0;0;6;0;0;3102
0;0;0;0;0;3108
2;15;3;0;0;3114
5;3;36;0;0;3120
0;0;3;0;0;3126
0;0;0;1;0;3132
0;0;0;0;1;3138
0;0;0;1;12;3144
0;0;3;1;6;3150
0;0;0;0;0;3156
0;0;0;0;0;3162
0;0;1;0;0;3168
0;0;0;0;0;3174
0;0;0;0;1;3180
0;0;0;0;0;3186
0;0;0;0;0;3192
0;12;36;1;0;3198
2;5;104;1;0;3204
12;19;129;1;0;3210
0;5;34;1;0;3216
6;5;33;50;28;3222
0;10;20;86;11;3228
1;12;21;103;1;3234
0;0;25;74;13;3240
0;1;20;34;6;3246
0;1;14;39;13;3252
0;5;14;39;2;3258
0;0;10;54;3;3264
0;4;32;48;19;3270
0;3;45;70;35;3276
0;5;31;62;33;3282
0;0;43;89;8;3288
0;5;29;68;4;3294
0;1;8;73;17;3300
0;0;17;84;14;3306
0;5;27;88;23;3312
0;3;50;100;4;3318
0;2;25;34;14;3324
1;1;9;12;17;3330
0;0;5;11;0;3336
0;0;13;65;7;3342
0;1;9;49;5;3348
0;2;12;59;5;3354
0;5;8;26;5;3360
0;2;12;20;11;3366
0;7;19;45;21;3372
1;6;30;59;10;3378
1;8;33;43;16;3384
0;0;22;35;22;3390
2;2;41;59;40;3396
2;2;45;90;16;3402
0;7;34;76;8;3408
0;8;37;100;12;3414
2;0;18;40;17;3420
1;5;26;52;11;3426
3;10;31;41;6;3432
1;3;19;45;3;3438
0;8;41;58;18;3444
0;0;14;47;14;3450
1;3;42;57;12;3456
0;12;59;83;20;3462
0;4;24;93;11;3468
3;1;42;74;13;3474
0;6;16;51;23;3480
0;6;19;86;17;3486
1;5;13;85;12;3492
0;10;5;77;2;3498
0;14;16;80;11;3504
0;7;10;31;19;3510
0;9;12;22;33;3516
0;18;54;11;6;3522
0;2;37;0;5;3528
0;0;25;0;1;3534
0;38;81;0;0;3540
0;5;51;9;0;3546
4;1;23;50;0;3552
0;0;42;106;1;3558
0;6;46;115;0;3564
0;9;37;85;3;3570
0;11;23;62;6;3576
0;9;20;57;2;3582
0;9;18;57;2;3588
0;4;21;65;1;3594
0;11;25;58;0;3600
0;11;23;50;3;3606
0;5;19;55;0;3612
0;8;20;50;1;3618
0;0;36;60;3;3624
0;2;31;66;9;3630
0;3;29;71;7;3636
2;5;27;72;1;3642
2;2;1;41;14;3648
0;0;0;0;0;3654
0;0;0;0;0;3660
0;0;0;0;0;3666
0;0;0;0;0;3672
0;0;0;0;0;3678
0;0;0;0;3;3684
0;0;0;0;1;3690
0;0;0;0;0;3696
0;0;0;0;0;3702
0;0;0;0;2;3708
0;0;0;0;0;3714
0;0;0;0;0;3720
0;0;0;0;0;3726
0;0;0;0;0;3732
0;0;0;0;0;3738
0;0;0;0;0;3744
0;0;1;0;0;3750
0;0;0;0;0;3756
0;0;0;0;0;3762
0;0;0;0;0;3768
0;0;0;0;0;3774
0;0;0;0;0;3780
0;0;0;0;0;3786
0;0;0;0;0;3792
0;0;0;0;0;3798
0;0;0;0;0;3804
0;0;0;0;0;3810
0;0;0;0;0;3816
0;0;0;0;0;3822
0;0;0;0;0;3828
0;0;0;0;0;3834
0;0;0;0;1;3840
0;0;0;0;2;3846
0;0;0;0;0;3852
0;0;0;0;0;3858
0;0;0;0;0;3864
0;0;0;0;0;3870
0;0;0;0;4;3876
0;0;0;0;0;3882
0;0;0;0;0;3888
0;0;0;0;0;3894
0;0;0;0;3;3900
0;0;0;0;1;3906
0;0;0;0;1;3912
0;0;0;0;0;3918
0;0;0;0;0;3924
0;0;0;0;0;3930
0;0;0;0;0;3936
0;0;0;0;1;3942
0;0;0;0;3;3948
0;0;0;0;3;3954
0;0;0;0;11;3960
0;0;0;0;0;3966
0;0;0;0;0;3972
0;0;0;0;0;3978
0;0;0;0;1;3984
0;0;0;0;0;3990
0;0;0;0;0;3996
0;0;0;0;0;4002
0;0;0;0;0;4008
0;0;0;0;0;4014
0;0;0;0;1;4020
0;0;0;0;0;4026
0;0;0;0;0;4032
0;0;0;0;0;4038
0;0;0;0;0;4044
0;0;0;0;0;4050
0;0;0;0;0;4056
0;0;0;0;0;4062
0;0;0;0;0;4068
0;0;0;0;0;4074
0;0;0;0;0;4080
0;0;0;0;1;4086
0;0;0;0;0;4092
0;0;0;0;0;4098
0;0;0;0;0;4104
0;0;0;0;0;4110
0;0;0;0;0;4116
0;0;0;0;0;4122
0;0;0;0;0;4128
0;0;0;0;0;4134
0;0;0;0;0;4140
0;0;0;0;0;4146
0;0;0;0;0;4152
0;0;0;0;0;4158
0;0;0;0;0;4164
0;0;0;0;0;4170
0;0;0;0;0;4176
0;0;0;0;0;4182
0;0;0;0;0;4188
0;0;0;0;0;4194
0;0;0;0;0;4200
0;0;0;0;0;4206
0;0;0;0;0;4212
0;0;0;0;0;4218
0;0;0;0;0;4224
0;0;0;0;0;4230
0;0;0;0;0;4236
0;0;0;0;0;4242
0;0;0;0;0;4248
0;0;0;0;0;4254
0;0;0;0;0;4260
0;0;0;0;0;4266
0;0;0;0;0;4272
0;1;0;0;2;4278
0;0;0;0;0;4284
0;0;0;0;0;4290
0;0;0;0;0;4296
0;0;0;0;0;4302
0;0;0;0;0;4308
0;0;0;0;0;4314
0;0;0;0;5;4320
0;0;0;0;0;4326
